                PRELIMINARY PRICES AS OF 06/30/20 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
5200       ----      ----      ----      ----      ----    UNCH                 2.5108                      75
5650       ----      ----      ----      ----      ----    UNCH                 2.9529                       8
5850       ----      ----      ----      ----      ----    UNCH                 3.1503                      16
5900       ----      ----      ----      ----      ----    UNCH                 3.1997                      16
5950       ----      ----      ----      ----      ----    UNCH                 3.2491                      32
6000       ----      ----      ----      ----      ----    UNCH                 3.2986                      32
LN JAN21 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0100                     520
1750       ----      ----      ----      ----      ----    UNCH                  .0236          24        4085
1800       ----      ----      ----      ----      ----    UNCH                  .0277                       6
1850       ----      ----      ----      ----      ----    UNCH                  .0326                     575
1900       ----      ----      ----      ----      ----    UNCH                  .0384                     100
2000       ----      ----      ----      ----      ----    UNCH                  .0528                    8878
2050       ----      ----      ----      ----      ----    UNCH                  .0613                       9
2100       ----      ----      ----      ----      ----    UNCH                  .0710                     300
2140       ----      ----      ----      ----      ----    UNCH                  .0796                      10
2150       ----      ----      ----      ----      ----    UNCH                  .0819                     405
2200       ----      ----      ----      ----      ----    UNCH                  .0941                     121
2250       ----      ----      ----      ----      ----    UNCH                  .1080                    3170
2260       ----      ----      ----      ----      ----    UNCH                  .1109                      30
2300       ----      ----      ----      ----      ----    UNCH                  .1233                       9
2350       ----      ----     .1400A    .1400A     ----    UNCH                  .1401                     792
2400       ----      ----     .1580A    .1580A     ----    UNCH                  .1583                     861
2420       ----      ----     .1650A    .1650A     ----    UNCH                  .1660                      35
2450       ----      ----     .1770A    .1770A     ----    UNCH                  .1780                     230
2500       ----      ----     .1960A    .1960A     ----    UNCH                  .1993           1        9051
2510       ----      ----      ----      ----      ----    UNCH                  .2038                       2
2530       ----      ----      ----      ----      ----    UNCH                  .2129                       2
2550       ----      ----     .2200A    .2200A     ----    UNCH                  .2222                       6
2600       ----      ----     .2440A    .2440A     ----    UNCH                  .2466                     558
2650       ----      ----     .2690A    .2690A     ----    UNCH                  .2722                     758
2700       ----      ----     .2930A    .2930A     ----    UNCH                  .2994           1         536
2750       ----      ----     .3210A    .3210A     ----    UNCH                  .3279                    1260
2800       ----      ----     .3500A    .3500A     ----    UNCH                  .3576                     582
2850       ----      ----     .3800A    .3800A     ----    UNCH                  .3885                     361
2950       ----      ----     .4440A    .4440A     ----    UNCH                  .4531                     505
3000       ----      ----     .4780A    .4780A     ----    UNCH                  .4868           1        1052
5200       ----      ----      ----      ----      ----    UNCH                 2.4217                     100
LN FEB21 Henry Hub Natural Gas European Financial Option PUT
1100       ----      ----      ----      ----      ----    UNCH                  .0020                       2
1500       ----      ----      ----      ----      ----    UNCH                  .0128                     610
1750       ----      ----      ----      ----      ----    UNCH                  .0325                     475
1800       ----      ----      ----      ----      ----    UNCH                  .0387                       5
2000       ----      ----      ----      ----      ----    UNCH                  .0734                    4942
2050       ----      ----      ----      ----      ----    UNCH                  .0845                       9
2100       ----      ----      ----      ----      ----    UNCH                  .0967                     225
2140       ----      ----      ----      ----      ----    UNCH                  .1075                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1104                     105
2200       ----      ----      ----      ----      ----    UNCH                  .1259                      64
2250       ----      ----      ----      ----      ----    UNCH                  .1429                    1413
2260       ----      ----      ----      ----      ----    UNCH                  .1465                      30
2300       ----      ----      ----      ----      ----    UNCH                  .1615                       9
2350       ----      ----      ----      ----      ----    UNCH                  .1813                     192
2400       ----      ----      ----      ----      ----    UNCH                  .2027                     817
2420       ----      ----      ----      ----      ----    UNCH                  .2117                      35
2450       ----      ----      ----      ----      ----    UNCH                  .2257                     779
2500       ----      ----      ----      ----      ----    UNCH                  .2503                    3459
2510       ----      ----      ----      ----      ----    UNCH                  .2553                       2
2530       ----      ----      ----      ----      ----    UNCH                  .2656                       2
2550       ----      ----      ----      ----      ----    UNCH                  .2760                       5
2600       ----      ----      ----      ----      ----    UNCH                  .3028                     461
2650       ----      ----      ----      ----      ----    UNCH                  .3308                     657
2700       ----      ----     .3560A    .3560A     ----    UNCH                  .3600                     163
2750       ----      ----     .3860A    .3860A     ----    UNCH                  .3902                    1312
2800       ----      ----      ----      ----      ----    UNCH                  .4215                     431
2850       ----      ----     .4490A    .4490A     ----    UNCH                  .4539                     360
2900       ----      ----     .4820A    .4820A     ----    UNCH                  .4872                     360
3000       ----      ----     .5510A    .5510A     ----    UNCH                  .5567                     326
3050       ----      ----     .5870A    .5870A     ----    UNCH                  .5926                      75
5200       ----      ----      ----      ----      ----    UNCH                 2.4929                     100
LN MAR21 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0168                     585
1750       ----      ----      ----      ----      ----    UNCH                  .0440                     813
1800       ----      ----      ----      ----      ----    UNCH                  .0523                       5
1950       ----      ----      ----      ----      ----    UNCH                  .0838                       3
2000       ----      ----      ----      ----      ----    UNCH                  .0966                   28637
2050       ----      ----      ----      ----      ----    UNCH                  .1109                       9
2100       ----      ----      ----      ----      ----    UNCH                  .1269                     128
2140       ----      ----      ----      ----      ----    UNCH                  .1408                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1444                     105
2200       ----      ----      ----      ----      ----    UNCH                  .1634                      55
2250       ----      ----      ----      ----      ----    UNCH                  .1838                    3145
2260       ----      ----      ----      ----      ----    UNCH                  .1881                      30
2300       ----      ----      ----      ----      ----    UNCH                  .2059                     283
2350       ----      ----      ----      ----      ----    UNCH                  .2297                     550
2400       ----      ----      ----      ----      ----    UNCH                  .2549                    3308
2420       ----      ----      ----      ----      ----    UNCH                  .2653                      35
2450       ----      ----      ----      ----      ----    UNCH                  .2814                      90
2500       ----      ----     .3070A    .3070A     ----    UNCH                  .3090                    4565
2510       ----      ----      ----      ----      ----    UNCH                  .3146                       2
2530       ----      ----      ----      ----      ----    UNCH                  .3261                       2
2550       ----      ----     .3350A    .3350A     ----    UNCH                  .3378                     504
2600       ----      ----      ----      ----      ----    UNCH                  .3678                     600
2650       ----      ----     .3960A    .3960A     ----    UNCH                  .3989                     700
2700       ----      ----     .4270A    .4270A     ----    UNCH                  .4311                     372
2750       ----      ----     .4600A    .4600A     ----    UNCH                  .4642                    1726
2800       ----      ----     .4940A    .4940A     ----    UNCH                  .4984                     666
2850       ----      ----     .5290A    .5290A     ----    UNCH                  .5336                     461
3000       ----      ----      ----      ----      ----    UNCH                  .6437                     375
5200       ----      ----      ----      ----      ----    UNCH                 2.6074                     100
LN APR21 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0145                     175
1750       ----      ----      ----      ----      ----    UNCH                  .0411                    1425
1800       ----      ----      ----      ----      ----    UNCH                  .0493                     955
1900       ----      ----      ----      ----      ----    UNCH                  .0690                     225
2000       ----      ----      ----      ----      ----    UNCH                  .0937                    5586
2100       ----      ----      ----      ----      ----    UNCH                  .1240                     205
2140       ----      ----      ----      ----      ----    UNCH                  .1378                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1414                     780
2200       ----      ----      ----      ----      ----    UNCH                  .1602                      89
2250       ----      ----      ----      ----      ----    UNCH                  .1807                    1895
2260       ----      ----      ----      ----      ----    UNCH                  .1850                      30
2300       ----      ----      ----      ----      ----    UNCH                  .2029                     186
2350       ----      ----      ----      ----      ----    UNCH                  .2268                     200
2400       ----      ----      ----      ----      ----    UNCH                  .2521                     858
2420       ----      ----      ----      ----      ----    UNCH                  .2626                      30
2450       ----      ----      ----      ----      ----    UNCH                  .2788                     160
2500       ----      ----      ----      ----      ----    UNCH                  .3069                    3085
2510       ----      ----      ----      ----      ----    UNCH                  .3127                       2
2530       ----      ----      ----      ----      ----    UNCH                  .3245                       2
2550       ----      ----      ----      ----      ----    UNCH                  .3366                     420
2600       ----      ----      ----      ----      ----    UNCH                  .3676                     235
2650       ----      ----      ----      ----      ----    UNCH                  .4000                      25
2700       ----      ----      ----      ----      ----    UNCH                  .4335                     137
2750       ----      ----      ----      ----      ----    UNCH                  .4684                     375
2800       ----      ----      ----      ----      ----    UNCH                  .5044                      31
2850       ----      ----      ----      ----      ----    UNCH                  .5416                     260
5200       ----      ----      ----      ----      ----    UNCH                 2.7481                     100
LN MAY21 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0162                     175
1750       ----      ----      ----      ----      ----    UNCH                  .0420                    1250
1800       ----      ----      ----      ----      ----    UNCH                  .0495                     955
1900       ----      ----      ----      ----      ----    UNCH                  .0678                     226
2000       ----      ----      ----      ----      ----    UNCH                  .0910                    4660
2100       ----      ----      ----      ----      ----    UNCH                  .1197                     205
2140       ----      ----      ----      ----      ----    UNCH                  .1330                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1364                     230
2200       ----      ----      ----      ----      ----    UNCH                  .1547                      89
2250       ----      ----      ----      ----      ----    UNCH                  .1746                    1787
2260       ----      ----      ----      ----      ----    UNCH                  .1788                      30
2300       ----      ----      ----      ----      ----    UNCH                  .1962                      53
2350       ----      ----      ----      ----      ----    UNCH                  .2193                     200
2400       ----      ----      ----      ----      ----    UNCH                  .2441                     808
2420       ----      ----      ----      ----      ----    UNCH                  .2545                      30
2450       ----      ----      ----      ----      ----    UNCH                  .2708                     235
2500       ----      ----      ----      ----      ----    UNCH                  .2990                    2520
2510       ----      ----      ----      ----      ----    UNCH                  .3049                       2
2530       ----      ----      ----      ----      ----    UNCH                  .3167                       2
2550       ----      ----      ----      ----      ----    UNCH                  .3289                     150
2600       ----      ----      ----      ----      ----    UNCH                  .3602                     185
2700       ----      ----      ----      ----      ----    UNCH                  .4274                     137
2750       ----      ----      ----      ----      ----    UNCH                  .4630                     375
2800       ----      ----      ----      ----      ----    UNCH                  .4997                      31
2850       ----      ----      ----      ----      ----    UNCH                  .5374                     260
5200       ----      ----      ----      ----      ----    UNCH                 2.7666                     100
LN JUN21 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0149                     175
1750       ----      ----      ----      ----      ----    UNCH                  .0387                    1250
1800       ----      ----      ----      ----      ----    UNCH                  .0456                     955
1900       ----      ----      ----      ----      ----    UNCH                  .0624                     225
2000       ----      ----      ----      ----      ----    UNCH                  .0838                    3460
2100       ----      ----      ----      ----      ----    UNCH                  .1104                     205
2140       ----      ----      ----      ----      ----    UNCH                  .1227                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1259                     230
2200       ----      ----      ----      ----      ----    UNCH                  .1429                      89
2250       ----      ----      ----      ----      ----    UNCH                  .1616                    1770
2260       ----      ----      ----      ----      ----    UNCH                  .1655                      30
2300       ----      ----      ----      ----      ----    UNCH                  .1818                      53
2350       ----      ----      ----      ----      ----    UNCH                  .2037                     200
2400       ----      ----      ----      ----      ----    UNCH                  .2271                     908
2420       ----      ----      ----      ----      ----    UNCH                  .2370                      30
2450       ----      ----      ----      ----      ----    UNCH                  .2523                     235
2500       ----      ----      ----      ----      ----    UNCH                  .2793                    3706
2510       ----      ----      ----      ----      ----    UNCH                  .2849                       2
2530       ----      ----      ----      ----      ----    UNCH                  .2963                       2
2550       ----      ----      ----      ----      ----    UNCH                  .3079                     150
2600       ----      ----      ----      ----      ----    UNCH                  .3379                     185
2700       ----      ----      ----      ----      ----    UNCH                  .4027                     137
2750       ----      ----      ----      ----      ----    UNCH                  .4372                     375
2800       ----      ----      ----      ----      ----    UNCH                  .4730                      31
2850       ----      ----      ----      ----      ----    UNCH                  .5099                     260
5200       ----      ----      ----      ----      ----    UNCH                 2.7281                     100
LN JLY21 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0145                     175
1750       ----      ----      ----      ----      ----    UNCH                  .0372                    1250
1800       ----      ----      ----      ----      ----    UNCH                  .0438                     955
1900       ----      ----      ----      ----      ----    UNCH                  .0595                     250
2000       ----      ----      ----      ----      ----    UNCH                  .0796                    3485
2100       ----      ----      ----      ----      ----    UNCH                  .1045                     205
2140       ----      ----      ----      ----      ----    UNCH                  .1160                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1190           5         230
2200       ----      ----      ----      ----      ----    UNCH                  .1350                      89
2250       ----      ----      ----      ----      ----    UNCH                  .1524                    1805
2260       ----      ----      ----      ----      ----    UNCH                  .1561                      30
2300       ----      ----      ----      ----      ----    UNCH                  .1714                      53
2350       ----      ----      ----      ----      ----    UNCH                  .1920                     200
2400       ----      ----      ----      ----      ----    UNCH                  .2142                     808
2420       ----      ----      ----      ----      ----    UNCH                  .2235                      30
2450       ----      ----      ----      ----      ----    UNCH                  .2379                     160
2500       ----      ----      ----      ----      ----    UNCH                  .2632                    2595
2510       ----      ----      ----      ----      ----    UNCH                  .2685                       2
2530       ----      ----      ----      ----      ----    UNCH                  .2793                       2
2550       ----      ----      ----      ----      ----    UNCH                  .2904                     150
2600       ----      ----      ----      ----      ----    UNCH                  .3191                     185
2700       ----      ----      ----      ----      ----    UNCH                  .3808                     137
2750       ----      ----      ----      ----      ----    UNCH                  .4140                     375
2800       ----      ----      ----      ----      ----    UNCH                  .4484                      31
2850       ----      ----      ----      ----      ----    UNCH                  .4840                     260
5200       ----      ----      ----      ----      ----    UNCH                 2.6834                     100
LN AUG21 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0165                     175
1700       ----      ----      ----      ----      ----    UNCH                  .0344                       5
1750       ----      ----      ----      ----      ----    UNCH                  .0405                    1250
1800       ----      ----      ----      ----      ----    UNCH                  .0474                     955
1900       ----      ----      ----      ----      ----    UNCH                  .0638                     250
2000       ----      ----      ----      ----      ----    UNCH                  .0844                    3490
2100       ----      ----      ----      ----      ----    UNCH                  .1097                     205
2140       ----      ----      ----      ----      ----    UNCH                  .1213                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1244                     225
2200       ----      ----      ----      ----      ----    UNCH                  .1405                      89
2250       ----      ----      ----      ----      ----    UNCH                  .1580                    1770
2260       ----      ----      ----      ----      ----    UNCH                  .1617                      30
2300       ----      ----      ----      ----      ----    UNCH                  .1771                      53
2350       ----      ----      ----      ----      ----    UNCH                  .1976                     200
2400       ----      ----      ----      ----      ----    UNCH                  .2197                     808
2420       ----      ----      ----      ----      ----    UNCH                  .2289                      30
2450       ----      ----      ----      ----      ----    UNCH                  .2432                     160
2500       ----      ----      ----      ----      ----    UNCH                  .2683                    2595
2510       ----      ----      ----      ----      ----    UNCH                  .2736                       2
2530       ----      ----      ----      ----      ----    UNCH                  .2842                       2
2550       ----      ----      ----      ----      ----    UNCH                  .2952                     150
2600       ----      ----      ----      ----      ----    UNCH                  .3235                     185
2700       ----      ----      ----      ----      ----    UNCH                  .3844                     137
2750       ----      ----      ----      ----      ----    UNCH                  .4170                     375
2800       ----      ----      ----      ----      ----    UNCH                  .4510                      31
2850       ----      ----      ----      ----      ----    UNCH                  .4861                     260
5200       ----      ----      ----      ----      ----    UNCH                 2.6719                     100
LN SEP21 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0197                     175
1750       ----      ----      ----      ----      ----    UNCH                  .0464                    1250
1800       ----      ----      ----      ----      ----    UNCH                  .0539                     955
1900       ----      ----      ----      ----      ----    UNCH                  .0718                     250
2000       ----      ----      ----      ----      ----    UNCH                  .0940                    3485
2100       ----      ----      ----      ----      ----    UNCH                  .1209                     205
2140       ----      ----      ----      ----      ----    UNCH                  .1332                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1365                     225
2200       ----      ----      ----      ----      ----    UNCH                  .1534                      89
2250       ----      ----      ----      ----      ----    UNCH                  .1717                    1770
2260       ----      ----      ----      ----      ----    UNCH                  .1756                      30
2300       ----      ----      ----      ----      ----    UNCH                  .1915                      53
2350       ----      ----      ----      ----      ----    UNCH                  .2128                     200
2400       ----      ----      ----      ----      ----    UNCH                  .2355                     808
2420       ----      ----      ----      ----      ----    UNCH                  .2450                      30
2450       ----      ----      ----      ----      ----    UNCH                  .2596                     160
2500       ----      ----      ----      ----      ----    UNCH                  .2854                    2595
2510       ----      ----      ----      ----      ----    UNCH                  .2907                       2
2530       ----      ----      ----      ----      ----    UNCH                  .3016                       2
2550       ----      ----      ----      ----      ----    UNCH                  .3127                     150
2600       ----      ----      ----      ----      ----    UNCH                  .3415                     185
2700       ----      ----      ----      ----      ----    UNCH                  .4031                     137
2750       ----      ----      ----      ----      ----    UNCH                  .4360                     375
2800       ----      ----      ----      ----      ----    UNCH                  .4702                      31
2850       ----      ----      ----      ----      ----    UNCH                  .5054                     260
5200       ----      ----      ----      ----      ----    UNCH                 2.6863                     100
LN OCT21 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0221                     175
1750       ----      ----      ----      ----      ----    UNCH                  .0504                    1425
1800       ----      ----      ----      ----      ----    UNCH                  .0582                     955
1900       ----      ----      ----      ----      ----    UNCH                  .0766                     250
2000       ----      ----      ----      ----      ----    UNCH                  .0994                    3485
2100       ----      ----      ----      ----      ----    UNCH                  .1267                     205
2140       ----      ----      ----      ----      ----    UNCH                  .1391                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1424                     225
2200       ----      ----      ----      ----      ----    UNCH                  .1593                      89
2250       ----      ----      ----      ----      ----    UNCH                  .1777                    1889
2260       ----      ----      ----      ----      ----    UNCH                  .1815                      30
2300       ----      ----      ----      ----      ----    UNCH                  .1974                      53
2350       ----      ----      ----      ----      ----    UNCH                  .2186                     200
2400       ----      ----      ----      ----      ----    UNCH                  .2411                     808
2420       ----      ----      ----      ----      ----    UNCH                  .2505                      30
2450       ----      ----      ----      ----      ----    UNCH                  .2649                     160
2500       ----      ----      ----      ----      ----    UNCH                  .2903                    2595
2510       ----      ----      ----      ----      ----    UNCH                  .2955                       2
2530       ----      ----      ----      ----      ----    UNCH                  .3063                       2
2550       ----      ----      ----      ----      ----    UNCH                  .3172                     150
2600       ----      ----      ----      ----      ----    UNCH                  .3456                     185
2700       ----      ----      ----      ----      ----    UNCH                  .4061                     137
2750       ----      ----      ----      ----      ----    UNCH                  .4383                     375
2800       ----      ----      ----      ----      ----    UNCH                  .4718                      31
2850       ----      ----      ----      ----      ----    UNCH                  .5065                     260
5200       ----      ----      ----      ----      ----    UNCH                 2.6698                     100
LN NOV21 Henry Hub Natural Gas European Financial Option PUT
1750       ----      ----      ----      ----      ----    UNCH                  .0503                     175
1800       ----      ----      ----      ----      ----    UNCH                  .0588                       8
2000       ----      ----      ----      ----      ----    UNCH                  .1031                    2262
2100       ----      ----      ----      ----      ----    UNCH                  .1317                     125
2140       ----      ----      ----      ----      ----    UNCH                  .1445                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1478                     100
2200       ----      ----      ----      ----      ----    UNCH                  .1651                      63
2250       ----      ----      ----      ----      ----    UNCH                  .1836                    1154
2260       ----      ----      ----      ----      ----    UNCH                  .1874                      30
2300       ----      ----      ----      ----      ----    UNCH                  .2033                       3
2350       ----      ----      ----      ----      ----    UNCH                  .2243                       2
2400       ----      ----      ----      ----      ----    UNCH                  .2464                    1033
2420       ----      ----      ----      ----      ----    UNCH                  .2555                      30
2450       ----      ----      ----      ----      ----    UNCH                  .2696                      30
2500       ----      ----      ----      ----      ----    UNCH                  .2940          15        1940
2510       ----      ----      ----      ----      ----    UNCH                  .2990                       2
2530       ----      ----      ----      ----      ----    UNCH                  .3092                       2
2600       ----      ----      ----      ----      ----    UNCH                  .3466                     255
2700       ----      ----      ----      ----      ----    UNCH                  .4040                     137
2750       ----      ----      ----      ----      ----    UNCH                  .4345                     200
2800       ----      ----      ----      ----      ----    UNCH                  .4661                     131
2850       ----      ----      ----      ----      ----    UNCH                  .4989                     260
5200       ----      ----      ----      ----      ----    UNCH                 2.6479                     100
LN DEC21 Henry Hub Natural Gas European Financial Option PUT
1750       ----      ----      ----      ----      ----    UNCH                  .0506                     175
1800       ----      ----      ----      ----      ----    UNCH                  .0590                       5
2000       ----      ----      ----      ----      ----    UNCH                  .1020                    2310
2050       ----      ----      ----      ----      ----    UNCH                  .1152                       3
2100       ----      ----      ----      ----      ----    UNCH                  .1294                     125
2140       ----      ----      ----      ----      ----    UNCH                  .1415                      10
2150       ----      ----      ----      ----      ----    UNCH                  .1447                     100
2200       ----      ----      ----      ----      ----    UNCH                  .1610                      63
2250       ----      ----      ----      ----      ----    UNCH                  .1784                     998
2260       ----      ----      ----      ----      ----    UNCH                  .1821                      30
2300       ----      ----      ----      ----      ----    UNCH                  .1970                       3
2350       ----      ----      ----      ----      ----    UNCH                  .2167                       2
2400       ----      ----      ----      ----      ----    UNCH                  .2374                    1014
2420       ----      ----      ----      ----      ----    UNCH                  .2460                      30
2450       ----      ----      ----      ----      ----    UNCH                  .2593                      30
2500       ----      ----      ----      ----      ----    UNCH                  .2822          15        2860
2510       ----      ----      ----      ----      ----    UNCH                  .2869                       2
2530       ----      ----      ----      ----      ----    UNCH                  .2965                       2
2600       ----      ----      ----      ----      ----    UNCH                  .3312                     255
2700       ----      ----      ----      ----      ----    UNCH                  .3845                     137
2750       ----      ----      ----      ----      ----    UNCH                  .4129                     200
2800       ----      ----      ----      ----      ----    UNCH                  .4422                     281
2850       ----      ----      ----      ----      ----    UNCH                  .4725                     260
5200       ----      ----      ----      ----      ----    UNCH                 2.5518                     100
LN JAN22 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0145
2000       ----      ----      ----      ----      ----    UNCH                  .0850          50         682
2050       ----      ----      ----      ----      ----    UNCH                  .0973                       3
2100       ----      ----      ----      ----      ----    UNCH                  .1109                      53
2150       ----      ----      ----      ----      ----    UNCH                  .1260                     200
2200       ----      ----      ----      ----      ----    UNCH                  .1425                      12
2250       ----      ----      ----      ----      ----    UNCH                  .1604          50         945
2300       ----      ----      ----      ----      ----    UNCH                  .1796                       7
2350       ----      ----      ----      ----      ----    UNCH                  .2001                      20
2400       ----      ----      ----      ----      ----    UNCH                  .2223                     277
2420       ----      ----      ----      ----      ----    UNCH                  .2316                      12
2450       ----      ----      ----      ----      ----    UNCH                  .2459                      17
2460       ----      ----      ----      ----      ----    UNCH                  .2508                      17
2500       ----      ----      ----      ----      ----    UNCH                  .2709          15        1215
2550       ----      ----      ----      ----      ----    UNCH                  .2971                      19
2600       ----      ----      ----      ----      ----    UNCH                  .3244                     175
2700       ----      ----      ----      ----      ----    UNCH                  .3829                      12
2750       ----      ----      ----      ----      ----    UNCH                  .4138                     160
2800       ----      ----      ----      ----      ----    UNCH                  .4457                     150
LN FEB22 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0221
2000       ----      ----      ----      ----      ----    UNCH                  .1098          50         679
2050       ----      ----      ----      ----      ----    UNCH                  .1244                       3
2100       ----      ----      ----      ----      ----    UNCH                  .1405                      53
2150       ----      ----      ----      ----      ----    UNCH                  .1579                     200
2200       ----      ----      ----      ----      ----    UNCH                  .1766                      22
2250       ----      ----      ----      ----      ----    UNCH                  .1965          50         945
2300       ----      ----      ----      ----      ----    UNCH                  .2178                       7
2350       ----      ----      ----      ----      ----    UNCH                  .2406                      20
2400       ----      ----      ----      ----      ----    UNCH                  .2647                     277
2420       ----      ----      ----      ----      ----    UNCH                  .2748                      12
2450       ----      ----      ----      ----      ----    UNCH                  .2902                      17
2460       ----      ----      ----      ----      ----    UNCH                  .2954                      17
2500       ----      ----      ----      ----      ----    UNCH                  .3167          15        1215
2550       ----      ----      ----      ----      ----    UNCH                  .3443                      19
2600       ----      ----      ----      ----      ----    UNCH                  .3732                     175
2700       ----      ----      ----      ----      ----    UNCH                  .4342                      12
2750       ----      ----      ----      ----      ----    UNCH                  .4661                     160
2800       ----      ----      ----      ----      ----    UNCH                  .4988                     150
LN MAR22 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0340
2000       ----      ----      ----      ----      ----    UNCH                  .1495          50         681
2050       ----      ----      ----      ----      ----    UNCH                  .1679                       3
2100       ----      ----      ----      ----      ----    UNCH                  .1876                      53
2150       ----      ----      ----      ----      ----    UNCH                  .2087                     200
2200       ----      ----      ----      ----      ----    UNCH                  .2313                      22
2250       ----      ----      ----      ----      ----    UNCH                  .2552          50         945
2300       ----      ----      ----      ----      ----    UNCH                  .2805                       7
2350       ----      ----      ----      ----      ----    UNCH                  .3069                      20
2400       ----      ----      ----      ----      ----    UNCH                  .3345                     277
2420       ----      ----      ----      ----      ----    UNCH                  .3459                      12
2450       ----      ----      ----      ----      ----    UNCH                  .3633                      17
2460       ----      ----      ----      ----      ----    UNCH                  .3692                      17
2500       ----      ----      ----      ----      ----    UNCH                  .3932          15        1323
2550       ----      ----      ----      ----      ----    UNCH                  .4242                      19
2600       ----      ----      ----      ----      ----    UNCH                  .4561                     175
2700       ----      ----      ----      ----      ----    UNCH                  .5223                      12
2750       ----      ----      ----      ----      ----    UNCH                  .5567                     160
2800       ----      ----      ----      ----      ----    UNCH                  .5918                     150
LN APR22 Henry Hub Natural Gas European Financial Option PUT
1500       ----      ----      ----      ----      ----    UNCH                  .0267
1750       ----      ----      ----      ----      ----    UNCH                  .0678                     200
1850       ----      ----      ----      ----      ----    UNCH                  .0930                      60
1900       ----      ----      ----      ----      ----    UNCH                  .1078                      75
1950       ----      ----      ----      ----      ----    UNCH                  .1243                     200
2000       ----      ----      ----      ----      ----    UNCH                  .1424          50         980
2100       ----      ----      ----      ----      ----    UNCH                  .1839                      53
2150       ----      ----      ----      ----      ----    UNCH                  .2073                     200
2200       ----      ----      ----      ----      ----    UNCH                  .2323                      22
2250       ----      ----      ----      ----      ----    UNCH                  .2590          50         995
2300       ----      ----      ----      ----      ----    UNCH                  .2873                      62
2350       ----      ----      ----      ----      ----    UNCH                  .3172                      20
2400       ----      ----      ----      ----      ----    UNCH                  .3487                     102
